Transaction_ID,Date,Store_ID,Store_Name,City,Category,Product_Name,Unit_Price,Quantity,Discount_Percent,Gross_Sales,Discount_Amount,Net_Sales,Payment_Method,Customer_Segment,Return_Flag
TXN00001,2024-04-19,S001,Hyderabad Central,Hyderabad,Electronics,Tablet,19691.8,8.0,15.0,157534.4,23630.16,133904.24,Cash,Online,No
TXN00002,2024-07-31,S004,Mumbai Metro Store,Mumbai,Grocery,Spices Pack,102.82,2.0,15.0,205.64,30.85,174.79,Net Banking,Online,No
TXN00003,2024-04-09,S004,Mumbai Metro Store,Mumbai,Home Appliances,Water Purifier,8815.64,5.0,0.0,44078.2,0.0,44078.2,Credit Card,Online,No
TXN00004,2024-06-22,S005,Pune Retail Hub,Pune,Clothing,Formal Shirt,910.08,8.0,10.0,7280.64,728.06,6552.58,Debit Card,Walk-in,No
TXN00005,2024-11-07,S005,Pune Retail Hub,Pune,Home Appliances,Fan,1542.77,2.0,10.0,3085.54,308.55,2776.99,UPI,Corporate,No
TXN00006,2024-03-18,S005,Pune Retail Hub,Pune,Stationery,Stapler,155.82,8.0,20.0,1246.56,249.31,997.25,Debit Card,Walk-in,No
TXN00007,2024-12-20,S003,Chennai Express,Chennai,Electronics,Smart Watch,5997.51,3.0,15.0,17992.53,2698.88,15293.65,Net Banking,Corporate,No
TXN00008,2024-01-24,S004,Mumbai Metro Store,Mumbai,Electronics,Earphones,1484.1,7.0,10.0,10388.7,1038.87,9349.83,Net Banking,Online,No
TXN00009,2024-11-06,S003,Chennai Express,Chennai,Electronics,Earphones,1480.06,3.0,15.0,4440.18,666.03,3774.15,Net Banking,Loyalty Member,No
TXN00010,2024-12-08,S002,Banjara Hills Mart,Hyderabad,Clothing,Saree,2386.17,1.0,0.0,2386.17,0.0,2386.17,Cash,Loyalty Member,No
TXN00011,2024-01-19,S002,Banjara Hills Mart,Hyderabad,Electronics,Laptop,47336.29,7.0,20.0,331354.03,66270.81,265083.22,Credit Card,Walk-in,No
TXN00012,2024-08-07,S002,Banjara Hills Mart,Hyderabad,Grocery,Cooking Oil,195.14,7.0,5.0,1365.98,68.3,1297.68,Debit Card,Corporate,No
TXN00013,2024-06-04,S003,Chennai Express,Chennai,Grocery,Flour (10kg),306.16,5.0,20.0,1530.8,306.16,1224.64,UPI,Loyalty Member,No
TXN00014,2024-12-06,S004,Mumbai Metro Store,Mumbai,Clothing,Saree,2521.23,6.0,5.0,15127.38,756.37,14371.01,UPI,Loyalty Member,No
TXN00015,,S003,Chennai Express,Chennai,Clothing,Jeans,1326.22,2.0,101.0,,,,Debit Card,Online,No
TXN00016,2024-04-15,S005,Pune Retail Hub,Pune,Stationery,Notebook Set,202.88,8.0,5.0,1623.04,81.15,1541.89,Cash,Corporate,No
TXN00017,2024-04-17,S001,Hyderabad Central,Hyderabad,Stationery,Stapler,150.85,4.0,5.0,603.4,30.17,573.23,Credit Card,Corporate,Yes
TXN00018,2024-02-20,S002,Banjara Hills Mart,Hyderabad,Clothing,Saree,2423.38,2.0,10.0,4846.76,484.68,4362.08,Net Banking,Loyalty Member,Yes
TXN00019,2024-04-06,S003,Chennai Express,Chennai,Clothing,Jeans,1234.76,7.0,10.0,8643.32,864.33,7778.99,Cash,Walk-in,No
TXN00020,2024-08-09,S004,Mumbai Metro Store,Mumbai,Clothing,Formal Shirt,931.03,4.0,20.0,3724.12,744.82,2979.3,UPI,Online,No
TXN00021,2024-12-14,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Mixer Grinder,2928.09,8.0,15.0,23424.72,3513.71,19911.01,Credit Card,Online,No
TXN00022,2024-04-26,S001,Hyderabad Central,Hyderabad,Stationery,File Folder,80.96,7.0,0.0,566.72,0.0,566.72,Net Banking,Walk-in,No
TXN00023,2024-09-07,S004,Mumbai Metro Store,Mumbai,Electronics,Tablet,19355.92,8.0,20.0,154847.36,30969.47,123877.89,Debit Card,Online,No
TXN00024,2024-10-01,S001,Hyderabad Central,Hyderabad,Stationery,Calculator,379.8,6.0,20.0,2278.8,455.76,1823.04,Net Banking,Corporate,No
TXN00025,2024-05-24,S003,Chennai Express,Chennai,Electronics,Laptop,47681.09,6.0,0.0,286086.54,0.0,286086.54,UPI,Loyalty Member,No
TXN00026,2024-11-08,S004,Mumbai Metro Store,Mumbai,Grocery,Spices Pack,97.94,8.0,5.0,783.52,39.18,744.34,Debit Card,Walk-in,No
TXN00027,2024-08-11,S004,Mumbai Metro Store,Mumbai,Clothing,Saree,2410.27,8.0,0.0,19282.16,0.0,19282.16,Net Banking,Loyalty Member,No
TXN00028,2024-08-30,S003,Chennai Express,Chennai,Clothing,Jacket,2078.16,6.0,10.0,12468.96,1246.9,11222.06,Net Banking,Online,No
TXN00029,2024-10-23,S004,Mumbai Metro Store,Mumbai,Grocery,Rice (5kg),358.19,2.0,0.0,716.38,0.0,716.38,Net Banking,Online,No
TXN00030,2024-04-17,S003,Chennai Express,Chennai,Clothing,Saree,2460.84,8.0,15.0,19686.72,2953.01,16733.71,Cash,Corporate,No
TXN00031,2024-04-02,S003,Chennai Express,Chennai,Home Appliances,Microwave,6439.55,4.0,15.0,25758.2,3863.73,21894.47,UPI,Walk-in,No
TXN00032,2024-04-05,S003,Chennai Express,Chennai,Clothing,Saree,2426.8,5.0,10.0,12134.0,1213.4,10920.6,Cash,Corporate,No
TXN00033,2024-11-28,S001,Hyderabad Central,Hyderabad,Home Appliances,Microwave,6436.94,8.0,10.0,51495.52,5149.55,46345.97,UPI,Corporate,No
TXN00034,2024-02-01,S005,Pune Retail Hub,Pune,Grocery,Spices Pack,97.2,2.0,10.0,194.4,19.44,174.96,Net Banking,Loyalty Member,No
TXN00035,2024-06-17,S001,Hyderabad Central,Hyderabad,Home Appliances,Iron Box,906.89,8.0,20.0,7255.12,1451.02,5804.1,Cash,Walk-in,No
TXN00036,2024-06-26,S001,Hyderabad Central,Hyderabad,Stationery,Pen Box,101.8,5.0,10.0,509.0,50.9,458.1,Debit Card,Loyalty Member,No
TXN00037,2024-06-14,S001,Hyderabad Central,Hyderabad,Home Appliances,Microwave,6539.33,2.0,10.0,13078.66,1307.87,11770.79,UPI,Online,Yes
TXN00038,2024-09-25,S004,Mumbai Metro Store,Mumbai,Home Appliances,Mixer Grinder,2775.72,2.0,15.0,5551.44,832.72,4718.72,Credit Card,Loyalty Member,No
TXN00039,2024-11-29,S003,Chennai Express,Chennai,Clothing,Jeans,1235.24,4.0,5.0,4940.96,247.05,4693.91,Net Banking,Walk-in,No
TXN00040,2024-05-26,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Water Purifier,9047.74,1.0,0.0,9047.74,0.0,9047.74,Debit Card,Walk-in,Yes
TXN00041,2024-08-30,S004,Mumbai Metro Store,Mumbai,Stationery,Pen Box,103.85,6.0,10.0,623.1,62.31,560.79,UPI,Online,No
TXN00042,2024-06-14,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Microwave,6820.55,3.0,0.0,20461.65,0.0,20461.65,UPI,Loyalty Member,No
TXN00043,2024-11-15,S004,Mumbai Metro Store,Mumbai,Home Appliances,Water Purifier,9405.8,6.0,20.0,56434.8,11286.96,45147.84,Credit Card,Walk-in,No
TXN00044,2024-08-11,S005,Pune Retail Hub,Pune,Home Appliances,Fan,1520.89,2.0,0.0,3041.78,0.0,3041.78,Net Banking,Online,No
TXN00045,2024-03-28,S005,Pune Retail Hub,Pune,Electronics,Smart Watch,5751.85,7.0,5.0,40262.95,2013.15,38249.8,Credit Card,Walk-in,Yes
TXN00046,2024-03-03,S001,Hyderabad Central,Hyderabad,Grocery,Rice (5kg),346.68,6.0,20.0,2080.08,416.02,1664.06,Debit Card,Corporate,No
TXN00047,2024-10-24,S001,Hyderabad Central,Hyderabad,Home Appliances,Iron Box,885.34,6.0,20.0,5312.04,1062.41,4249.63,Net Banking,Loyalty Member,No
TXN00048,2024-10-28,S001,Hyderabad Central,Hyderabad,Clothing,Jeans,1283.95,5.0,10.0,6419.75,641.98,5777.77,Cash,Walk-in,No
TXN00049,2024-09-20,S005,Pune Retail Hub,Pune,Home Appliances,Water Purifier,9329.16,2.0,5.0,18658.32,932.92,17725.4,Debit Card,Loyalty Member,No
TXN00050,2024-06-29,S004,Mumbai Metro Store,Mumbai,Stationery,Pen Box,101.64,2.0,10.0,203.28,20.33,182.95,Net Banking,Walk-in,No
TXN00051,2024-12-08,S005,Pune Retail Hub,Pune,Clothing,Formal Shirt,935.79,5.0,20.0,4678.95,935.79,3743.16,UPI,Online,No
TXN00052,2024-08-12,S002,Banjara Hills Mart,Hyderabad,Clothing,T-Shirt,617.52,3.0,0.0,1852.56,0.0,1852.56,Debit Card,Loyalty Member,No
TXN00053,2024-07-23,S004,Mumbai Metro Store,Mumbai,Clothing,Formal Shirt,935.84,1.0,20.0,935.84,187.17,748.67,Credit Card,Corporate,No
TXN00054,2024-08-13,S002,Banjara Hills Mart,Hyderabad,Electronics,Earphones,1524.97,5.0,15.0,7624.85,1143.73,6481.12,UPI,Online,No
TXN00055,2024-02-21,S003,Chennai Express,Chennai,Home Appliances,Fan,1528.02,7.0,0.0,10696.14,0.0,10696.14,Credit Card,Corporate,No
TXN00056,2024-02-17,S004,Mumbai Metro Store,Mumbai,Grocery,Rice (5kg),346.2,6.0,5.0,2077.2,103.86,1973.34,Cash,Walk-in,Yes
